Partida,Urea,Pollinaza,Harinolina,Yeso,Nit Teorico,Total BS,TON Pollo BH,m3 Vuelta 1,m3 Vuelta 2,m3 Vuelta 3,Humedad Final,m3 Vuelta 4,% Humedad Vueltas,BH LL1,BS LL1,Humedad LL1,BH LL2,BS LL2,m3 Ton LL2,BH LL3,BS LL3,m3 Ton LL3
CXM-20234805-6,600,38000,2500,10203.6,1.7,144709,38,1.12,1.22,0.94,66.99,0.35,72.81,515000,140029,72.81,500000,110700,0,476680,128704,0.18
CXM-20234807-7,600,38000,3000,10203.6,1.7,145261,38,1.13,1.25,1.04,66.53,0.54,74.4,532000,136192,74.4,458440,123779,0.32,445190,27000,0.7
CXM-20234807-8,600,38000,3000,10203.6,1.7,145261,38,1.13,1.25,1.04,66.73,0.54,74.4,532000,136192,74.4,458440,123779,0.32,445190,27000,0.7
CXM-20234807-9,600,38000,3000,10203.6,1.7,145261,38,1.13,1.25,1.04,66.66,0.54,74.4,532000,136192,74.4,458440,123779,0.32,445190,27000,0.7
CXM-20234901-10,600,49960,0,10628.76,1.75,150876,49.96,1.18,1.19,0.8,66.4,0.36,72.81,530000,144107,72.81,499280,134806,0.22,433050,116924,0.74
CXM-20234901-11,600,49960,0,10628.76,1.75,150876,49.96,1.18,1.19,0.8,66.66,0.36,72.81,530000,144107,72.81,499280,134806,0.22,433050,116924,0.74
CXM-20234901-12,600,49960,0,10628.76,1.75,150876,49.96,1.18,1.19,0.8,67.13,0.36,72.81,530000,144107,72.81,499280,134806,0.22,433050,116924,0.74
CXM-20234904-1,600,49940,0,10458.7,1.69,148247,49.94,1.26,1.29,0.85,66,0.5,73,429670,27000,73,347430,93806,0.37,420000,113400,0
CXM-20234904-2,600,49940,0,10458.7,1.69,148247,49.94,1.26,1.29,0.85,66.2,0.5,73,429670,27000,73,347430,93806,0.37,420000,113400,0
CXM-20234904-3,600,49940,0,10458.7,1.69,148247,49.94,1.26,1.29,0.85,66.2,0.5,73,429670,27000,73,347430,93806,0.37,420000,113400,0
CXM-20234905-4,600,40000,3800,10203.6,1.69,145168,40,1.21,1.41,1.2,66.79,0.09,73,430000,27000,73,405100,109377,0.3,405000,109350,0.18
CXM-20234905-5,600,40000,3800,10203.6,1.69,145168,40,1.21,1.41,1.2,67.06,0.09,73,430000,27000,73,405100,109377,0.3,405000,109350,0.18
CXM-20234905-6,600,40000,3800,10203.6,1.69,145168,40,1.21,1.41,1.2,66.33,0.09,73,430000,27000,73,405100,109377,0.3,405000,109350,0.18
CXM-20235001-4,600,49980,0,10675.8,1.68,146410,49.98,1,1.15,0.97,66.73,0.25,73,502000,93941,73,485000,130950,0.33,427790,115503,0.22
CXM-20235001-5,600,49980,0,10675.8,1.68,146410,49.98,1,1.15,0.97,66.06,0.25,73,502000,93941,73,485000,130950,0.33,427790,115503,0.22
CXM-20235001-6,600,49980,0,10675.8,1.68,146410,49.98,1,1.15,0.97,65.93,0.25,73,502000,93941,73,485000,130950,0.33,427790,115503,0.22
CXM-20235004-10,600,49910,0,10458.7,1.71,149303,49.91,1.57,0.91,0.83,66.13,0.2,73,510000,137700,73,480640,129773,0.13,433790,117123,0.28
CXM-20235004-11,600,49910,0,10458.7,1.71,149303,49.91,1.57,0.91,0.83,66.46,0.2,73,510000,137700,73,480640,129773,0.13,433790,117123,0.28
CXM-20235004-12,600,49910,0,10458.7,1.71,149303,49.91,1.57,0.91,0.83,66.66,0.2,73,510000,137700,73,480640,129773,0.13,433790,117123,0.28
CXM-20235005-1,600,40000,4000,10288.6,1.71,139954,40,1.67,1.79,1.1,66.26,0.28,73,382350,27000,73,474000,127980,0.88,429050,115844,0.23
CXM-20235005-2,600,40000,4000,10288.6,1.71,139954,40,1.67,1.79,1.1,66.53,0.28,73,382350,27000,73,474000,127980,0.88,429050,115844,0.23
CXM-20235005-3,600,40000,4000,10288.6,1.71,139954,40,1.67,1.79,1.1,66.86,0.28,73,382350,27000,73,474000,127980,0.88,429050,115844,0.23
CXM-20235007-7,600,40000,4000,10033.54,1.68,142801,40,1.14,1.14,0.83,66.66,0.44,73,511000,137970,73,467200,126144,0.27,428000,115560,0.2
CXM-20235007-8,600,40000,4000,10033.54,1.68,142801,40,1.14,1.14,0.83,66.33,0.44,73,511000,137970,73,467200,126144,0.27,428000,115560,0.2
CXM-20235007-9,600,40000,4000,10033.54,1.68,142801,40,1.14,1.14,0.83,66.26,0.44,73,511000,137970,73,467200,126144,0.27,428000,115560,0.2
CXM-20235101-10,600,49990,0,10288.63,1.75,146686,49.99,1.17,1.15,0.86,66.2,0.34,73,485850,27000,73,478590,129219,0.31,100000,27000,1.11
CXM-20235101-11,600,49990,0,10288.63,1.75,146686,49.99,1.17,1.15,0.86,66.06,0.34,73,485850,27000,73,478590,129219,0.31,100000,27000,1.11
CXM-20235101-12,600,49990,0,10288.63,1.75,146686,49.99,1.17,1.15,0.86,66.13,0.34,73,485850,27000,73,478590,129219,0.31,100000,27000,1.11
CXM-20235104-1,600,49920,0,10458.7,1.75,148620,49.92,1.27,0.86,0.78,64.67,0.33,73,522930,27000,73,476480,128650,0.25,432000,116640,0.25
CXM-20235104-2,600,49920,0,10458.7,1.75,148620,49.92,1.27,0.86,0.78,64.81,0.33,73,522930,27000,73,476480,128650,0.25,432000,116640,0.25
CXM-20235104-3,600,49920,0,10458.7,1.75,148620,49.92,1.27,0.86,0.78,66,0.33,73,522930,27000,73,476480,128650,0.25,432000,116640,0.25
CXM-20235105-4,600,37740,3000,10203.6,1.69,145564,37.74,1.38,1.15,0.79,66.46,0.01,73,515000,27000,73,476000,27000,1.48,530000,143100,0.17
CXM-20235105-5,600,37740,3000,10203.6,1.69,145564,37.74,1.38,1.15,0.79,66.73,0.01,73,515000,27000,73,476000,27000,1.48,530000,143100,0.17
CXM-20235105-6,600,37740,3000,10203.6,1.69,145564,37.74,1.38,1.15,0.79,66.86,0.01,73,515000,27000,73,476000,27000,1.48,530000,143100,0.17
CXM-20235107-7,600,38000,3000,10203.6,1.7,145336,38,1.32,1.21,0.92,66.86,0.29,73,521120,140702,73,473700,127899,0.28,440000,27000,1.03
CXM-20235107-8,600,38000,3000,10203.6,1.7,145336,38,1.32,1.21,0.92,67.13,0.29,73,521120,140702,73,473700,127899,0.28,440000,27000,1.03
CXM-20235107-9,600,38000,3000,10203.6,1.7,145336,38,1.32,1.21,0.92,66.93,0.29,73,521120,140702,73,473700,127899,0.28,440000,27000,1.03
CXM-20235201-10,600,49990,0,10798.81,1.75,153357,49.99,1.25,1.14,0.94,67.13,0.42,73,521130,140705,73,480000,129600,0.32,490000,27000,0
CXM-20235201-11,600,49990,0,10798.81,1.75,153357,49.99,1.25,1.14,0.94,67.13,0.42,73,521130,140705,73,480000,129600,0.32,490000,27000,0
CXM-20235201-12,600,49990,0,10798.81,1.75,153357,49.99,1.25,1.14,0.94,67.66,0.42,73,521130,140705,73,480000,129600,0.32,490000,27000,0
CXM-20235204-1,600,49840,0,10557.1,1.75,149919,49.84,1.25,1.21,0.84,66.26,0.44,73,518000,139860,73,477580,128947,0.27,400000,108000,0.23
CXM-20235204-2,600,49840,0,10557.1,1.75,149919,49.84,1.25,1.21,0.84,66.53,0.44,73,518000,139860,73,477580,128947,0.27,400000,108000,0.23
CXM-20235204-3,600,49840,0,10557.1,1.75,149919,49.84,1.25,1.21,0.84,67.72,0.44,73,518000,139860,73,477580,128947,0.27,400000,108000,0.23
CXM-20235205-4,600,37650,3000,10042.1,1.69,142904,37.65,1.13,1.4,1.11,67.06,0.38,74.75,530000,25250,74.75,515000,139050,0.15,410000,110700,0
CXM-20235205-5,600,37650,3000,10042.1,1.69,142904,37.65,1.13,1.4,1.11,66.13,0.38,74.75,530000,25250,74.75,515000,139050,0.15,410000,110700,0
CXM-20235205-6,600,37650,3000,10042.1,1.69,142904,37.65,1.13,1.4,1.11,65.13,0.38,74.75,530000,25250,74.75,515000,139050,0.15,410000,110700,0
CXM-20240101-10,600,49690,0,10557.09,1.75,150171,49.69,1.27,1.22,0.84,66.06,0.29,73,528340,142652,73,485000,130950,0,460000,124200,0.24
CXM-20240101-11,600,49690,0,10557.09,1.75,150171,49.69,1.27,1.22,0.84,66.2,0.29,73,528340,142652,73,485000,130950,0,460000,124200,0.24
CXM-20240101-12,600,49690,0,10557.09,1.75,150171,49.69,1.27,1.22,0.84,66.79,0.29,73,528340,142652,73,485000,130950,0,460000,124200,0.24
